13|	C		STABLE|				+0.7024118 14		-2220.47|27#	-10648.36|8#	-13436.9|10#	-22284.4|10#	4946.31|0#	17533.4|13#	7469.849|0#	13003354.83521|23#	3125.00888|21#	1929
6		7	1.07 %|8															
14|	C		5700 y|30	1.8E11|9.47E8	?-	100			156.476|4#	-12012.51|8#	-20644|21#	-10396.91|27#	8176.43|0#	20831.0|10#	7520.319|0#	14003241.988|4#	3019.893|4#	1936
6		8																
15|	C		2.449 s|5	2.45E0|5E-3	?-	100	1.32 7		9771.7|8#	-12728.9|8#	-19085|21#	-1061.6|8#	1218.1|8#	21080|21#	7100.17|5#	15010599.3|9#	9873.1|8#	1950
6		9																
16|	C		0.747 s|8	7.47E-1|8E-3	?-	100			8010|4#	-13809|4#	-23418|25#	5521|4#	4250|4#	22553|21#	6922.05|22#	16014701|4#	13694|4#	1961
6		10			?- n	99.0|3												
17|	C		193 ms|13	1.93E-1|1.3E-2	?-	100			13162|23#	-15052|20#	-22680|200#	7277|18#	734|18#	23370|30#	6558.0|10#	17022579|19#	21032|17#	1968
6		11			?- n	32|3												
18|	C		92 ms|2	9.2E-2|2E-3	?-	100			11810|40	-17460|140	-26870|210	8980|30	4180|30	26090|210	6426.1|17	18026750|30	24920|30	1969
6		12			?- n	31.5|15												
20|	C		14 ms|+6-5	1.4E-2|6E-3	?-	100			15740|240	-22370|280		13580|230	2980|250	29560|570	5961|12	20040260|250	37500|230	1981
6		14			?- n	72|14												
22|	C		6.1 ms|+14-12	6.1E-3|1.3E-3	?-	100			21850|310			20310|270	100|640#	31010|930#	5421|11	22057550|250	53610|230	1986
6		16			?- n	61|+14-13												
					?- 2n	< 37												
10|	N				p	100				-10940|2040	23100|400			-2600|400#	3640|40#	10041650|430#	38800|400#	2002
7		3																
11|	N		830 keV|30	5E-22	p	100				-5800|50#	13650|50		22570|400#	-1320|50#	5364|4#	11026090|50#	24300|50#	1974
7		4																
12|	N		11.000 ms|16	1.1E-2|1.6E-5	ec ?+	100	+0.4573 5	+0.026	-14577|24#	-8008.4|14#	17338.1|10#		15040|50#	600.3|10#	6170.11|8#	12018613.2|11#	17338.1|10#	1949
7		5																
13|	N		9.965 min|4	5.98E2|2.4E-1	ec ?+	100	0.3222 4		-17770|10#	-9495.9|9#	2220.47|27#	-34640|24#	20063.9|10#	1943.49|27#	7238.863|21#	13005738.61|28#	5345.48|27#	1934
7		6																
14|	N		STABLE|				+0.40376100 6	+0.0193 8	-5144.364|25#	-11612.11|1#	-156.476|4#	-28323|10#	10553.38|27#	7550.56|0#	7475.614|0#	14003074.00446|21#	2863.41672|19#	1920
7		7	99.636 %|20															
15|	N		STABLE|				-0.28318884 5		-2754.2|5#	-10991.18|1#	-9771.7|8#	-15977.66|3#	10833.30|0#	10207.42|0#	7699.460|0#	15000108.8989|5#	101.4387|5#	1929
7		8	0.364 %|20															
16|	N		7.13 s|2	7.13E0|2E-2	?-	100			10420.9|23#	-10110.4|26#	-8010|4#	-5243.0|23#	2488.8|23#	11478.2|24#	7373.80|14#	16006101.9|25#	5683.9|23#	1933
7		9			?- ?	0.0012|5												
17|	N		4.173 s|4	4.17E0|4E-3	?-	100			8679|15#	-11117|15#	-13162|23#	4536|15#	5885|15#	13113|15#	7286.2|9#	17008449|16#	7870|15#	1949
7		10			?- n	95.1|7												
					?- ?	0.0025|4												
18|	N		624 ms|12	6.24E-1|1.2E-2	?-	100			13896|19	-12975|28	-11810|40	5851|19	2828|24	15208|25	7038.6|10	18014078|20	13113|19	1964
