6,3,C,,,0,0,(3/2-),,126.5,9,MS,0.1265,0.0009,EC+B+,100,0,B+P,61.6,0,B+A,38.4,0,= 3/2,-1.3914,,,,,,,,-10653,2003,16494.484,231,14224.61,18,1299.57,236,4337.423,237,9031037.207,2293,28910.972,2137,
6,4,C,,,0,0,0+,,19.290,12,S,19.29,0.012,EC+B+,100,0,,,,,,,= 1,,,,,-23101.355,400000,,,-5101.28,5,3648.063,72,21283.62,214,4006.79,91,6032.042,7,10016853.218,75,15698.672,70,
6,5,C,,,0,0,3/2-,,20.364,14,M,1221.84,0.84,EC+B+,100,0,,,,,,,= 1/2,-0.964,,0.03426,,-13654.163,46154,-36221.95,400,-7544.52,9,1981.689,61,13120.59,9,8690.18,6,6676.456,5,11011432.597,64,10649.396,60,
6,6,C,2.4702,22,0,0,0+,,STABLE,,,,,,,,,,,,,,= 0,,,,,-17338.068,1000,-32374.88,46,-7366.59,4,-13369.397,1321,18720.71,6,15956.68,1,7680.144,0,12000000,0,0.0,0,
6,7,C,2.4614,34,0,0,1/2-,,STABLE,,,,,,,,,,,,,,= 1/2,0.7024118,,,,-2220.472,270,-22284.38,100,-10648.36,8,-13436.938,10,4946.31,0,17533.36,132,7469.849,0,13003354.83521,23,3125.00888,21,
6,8,C,2.5025,87,0,0,0+,,5700,30,Y,179878320000,946728000,B-,100,0,,,,,,,= 1,,,,,156.476,4,-10396.91,27,-12012.51,8,-20643.792,21,8176.43,0,20831.02,100,7520.319,0,14003241.98843,403,3019.89278,376,
6,9,C,,,0,0,1/2+,,2.449,5,S,2.449,0.005,B-,100,0,,,,,,,= 3/2,1.32,,,,9771.705,800,-1061.59,80,-12728.94,83,-19085.098,21,1218.07,80,21079.51,21,7100.169,53,15010599.256,858,9873.144,800,
6,10,C,,,0,0,0+,,0.747,8,S,0.747,0.008,B-,100,0,B-N,99,0.3,,,,= 2,,,,,8010.225,4254,5521.38,4,-13808.54,4,-23418.378,25,4250.33,4,22553.08,21,6922.054,224,16014701.256,3840,13694.132,3578,
6,11,C,,,0,0,,,193,13,MS,0.193,0.013,B-,100,0,B-N,32,3,,,,,,,,,13161.82,22946,7276.67,18,-15052.09,20,-22684.419,205,733.55,18,23369.58,30,6558.024,1020,17022578.672,18641,21031.898,17365,
6,12,C,,,0,0,(0+),,92,2,MS,0.092,0.002,B-,100,0,B-N,31.5,1.5,,,,= 3,,,,,11806.096,35282,8977.87,34,-17460.15,136,-26873.37,206,4183.95,35,26086.02,206,6426.131,1667,18026751.932,32206,24919.264,30000,
6,14,C,,,0,0,,,14,+6-5,MS,0.014,0.006,B-,100,0,B-N,72,14,,,,,,,,,15737.067,243746,13575.96,231,-22368.49,284,,,2981.51,251,29555.65,574,5961.435,11531,20040261.732,247585,37503.563,230625,
6,16,C,,,0,0,0+,,6.1,+14-12,MS,0.0061,0.0013,B-,100,0,B-N,61,0,B-2N,37,0,,,,,,21846.396,311063,20307.97,268,,,,,103,640,31008,929,5421.077,10522,22057553.99,248515,53611.197,231490,
7,3,N,,,0,0,,,,,,,,P,100,0,,,,,,,,,,,,,,,,-10945,2042,23101.354,400,,,-2600.08,400,3643.672,40000,10041653.543,429417,38800.026,400000,
7,4,N,,,0,0,1/2+,,830,30,KEV,5e-22,0,P,100,0,,,,,,,= 3/2,,,,,,,,,-5797.91,53,13654.163,46,22567.78,403,-1315.92,46,5364.046,4196,11026090.945,49548,24303.559,46154,
7,5,N,,,0,0,1+,,11.000,16,MS,0.011,0.000016,EC+B+,100,0,,,,,,,= 1,0.4573,,0.026,,-14576.544,24021,,,-8008.41,141,17338.068,10,15036.81,46,600.30,100,6170.109,83,12018613.182,1073,17338.068,1000,
7,6,N,,,0,0,1/2-,,9.965,4,M,597.9,0.24,EC+B+,100,0,,,,,,,= 1/2,0.3222,,,,-17769.951,9530,-34640.45,24,-9495.92,94,2220.472,27,20063.90,104,1943.49,27,7238.863,21,13005738.609,289,5345.481,270,
7,7,N,2.5582,70,0,0,1+,,STABLE,,,,,,,,,,,,,,= 0,0.403761,,0.0193,,-5144.364,25,-28323.33,10,-11612.11,1,-156.476,4,10553.38,27,7550.56,0,7475.614,0,14003074.00446,21,2863.41672,19,
7,8,N,2.6058,80,0,0,1/2-,,STABLE,,,,,,,,,,,,,,= 1/2,-0.28318884,,,,-2754.166,491,-15977.66,3,-10991.18,1,-9771.705,8,10833.30,0,10207.42,0,7699.46,0,15000108.89894,65,101.43871,59,
7,9,N,,,0,0,2-,,7.13,2,S,7.13,0.02,B-,100,0,B-A,0.0012,0.0005,,,,= 1,,,,,10420.908,2301,-5243.02,235,-10110.41,265,-8010.225,4,2488.85,229,11478.21,244,7373.796,144,16006101.925,2470,5683.907,2301,
7,10,N,,,0,0,1/2-,,4.173,4,S,4.173,0.004,B-,100,0,B-N,95.1,0.7,B-A,0.0025,,= 3/2,,,,,8678.842,15000,4535.76,15,-11116.78,15,-13161.819,23,5885.15,15,13113.02,15,7286.229,882,17008448.877,16103,7870.079,15000,
7,11,N,,,0,0,1-,,624,12,MS,0.624,0.012,B-,100,0,B-N,14.3,2,B-A,12.2,0.6,= 2,,,,,13895.984,18570,5850.61,19,-12975.43,28,-11806.096,35,2828.23,24,15207.70,25,7038.562,1032,18014077.565,19935,13113.168,18570,
7,12,N,,,0,0,,,271,8,MS,0.271,0.008,B-,100,0,B-N,54.6,1.4,,,,,,,,,12523.424,16614,8567.78,16,-15526.88,27,-16557.47,100,5328.20,25,16351.95,34,6948.543,863,19017022.419,17610,15856.282,16404,
7,13,N,,,0,0,,,130,7,MS,0.13,0.007,B-,100,0,B-N,57,3,,,,,,,,,17970.324,78899,10362.32,79,-17770.93,83,-15737.067,244,2161.10,81,17936.23,126,6709.171,3945,20023367.295,84696,21766.496,78894,
7,14,N,,,0,0,(1/2-),,84,7,MS,0.084,0.007,B-,100,0,B-N,86,4,,,,,,,,,17169.878,134584,13364.42,134,-20909.32,244,-20411.087,611,4605.90,156,19560.62,267,6609.015,6383,21027087.573,143906,25231.913,134048,
7,15,N,,,0,0,(0-),,23,3,MS,0.023,0.003,B-,100,0,B-N,34,3,B-2N,12,3,,,,,,22481.768,215435,15631.45,208,-22452.75,291,-21846.396,311,1538.43,247,21167,631,6378.534,9445,22034100.918,223060,31764.801,207779,
7,16,N,,,0,0,,,14.1,15,MS,0.0141,0.0015,B-,100,0,B-N,42,6,B-2N,8,4,,,,,,22099.056,437827,19366.07,424,-25474.73,673,,,3115.69,469,24179.74,480,6236.671,18286,23039421,451500,36720.425,420570,
